WELCOME 1 1931264    RTT: 212016 ns
WELCOME 1 1543168    RTT: 202827 ns
WELCOME 1 1314816    RTT: 201475 ns
WELCOME 1 2035712    RTT: 211454 ns
WELCOME 1 990208    RTT: 204687 ns
WELCOME 1 1160192    RTT: 194941 ns
WELCOME 1 1789952    RTT: 221602 ns
WELCOME 1 923648    RTT: 193612 ns
WELCOME 1 655360    RTT: 201983 ns
WELCOME 1 661504    RTT: 312307 ns
WELCOME 1 941056    RTT: 210950 ns
WELCOME 1 1034240    RTT: 186317 ns
WELCOME 1 951296    RTT: 340525 ns
WELCOME 1 1490944    RTT: 193115 ns
WELCOME 1 1587200    RTT: 190756 ns
WELCOME 1 1257472    RTT: 207593 ns
WELCOME 1 1913856    RTT: 127643 ns
WELCOME 1 993280    RTT: 152130 ns
WELCOME 1 1358848    RTT: 7847134 ns
WELCOME 1 1922048    RTT: 361934 ns
WELCOME 1 971776    RTT: 432673 ns
WELCOME 1 1620992    RTT: 593257 ns
WELCOME 1 339968    RTT: 435152 ns
WELCOME 1 939008    RTT: 842978 ns
WELCOME 1 339968    RTT: 461647 ns
WELCOME 1 1018880    RTT: 408552 ns
WELCOME 1 506880    RTT: 449653 ns
WELCOME 1 363520    RTT: 432122 ns
WELCOME 1 1422336    RTT: 428847 ns
WELCOME 1 971776    RTT: 441381 ns
WELCOME 1 1252352    RTT: 1267905 ns
WELCOME 1 1142784    RTT: 2996135 ns
WELCOME 1 1379328    RTT: 298106 ns
WELCOME 1 1340416    RTT: 461416 ns
WELCOME 1 824320    RTT: 401819 ns
WELCOME 1 1541120    RTT: 434959 ns
WELCOME 1 1255424    RTT: 303618 ns
WELCOME 1 508928    RTT: 217349 ns
WELCOME 1 343040    RTT: 204596 ns
WELCOME 1 1100800    RTT: 197630 ns
WELCOME 1 1045504    RTT: 210068 ns
WELCOME 1 899072    RTT: 216630 ns
WELCOME 1 1390592    RTT: 3578346 ns
WELCOME 1 1047552    RTT: 192685 ns
WELCOME 1 1045504    RTT: 304368 ns
WELCOME 1 424960    RTT: 299679 ns
WELCOME 1 393216    RTT: 241286 ns
WELCOME 1 1179648    RTT: 270982 ns
WELCOME 1 1034240    RTT: 303992 ns
WELCOME 1 1088512    RTT: 620848 ns
WELCOME 1 921600    RTT: 247965 ns
WELCOME 1 1610752    RTT: 2210865 ns
WELCOME 1 703488    RTT: 541152 ns
WELCOME 1 1311744    RTT: 431919 ns
WELCOME 1 1650688    RTT: 472311 ns
WELCOME 1 830464    RTT: 5273805 ns
WELCOME 1 550912    RTT: 459534 ns
WELCOME 1 1207296    RTT: 466190 ns
WELCOME 1 1015808    RTT: 437986 ns
WELCOME 1 430080    RTT: 460017 ns
WELCOME 1 1373184    RTT: 443564 ns
WELCOME 1 1195008    RTT: 446818 ns
WELCOME 1 701440    RTT: 467334 ns
WELCOME 1 1364992    RTT: 192767 ns
WELCOME 1 765952    RTT: 359734 ns
WELCOME 1 501760    RTT: 7138867 ns
WELCOME 1 1215488    RTT: 3032399 ns
WELCOME 1 817152    RTT: 2211896 ns
WELCOME 1 608256    RTT: 177221 ns
WELCOME 1 413696    RTT: 329132 ns
WELCOME 1 1499136    RTT: 291362 ns
WELCOME 1 1231872    RTT: 236755 ns
WELCOME 1 702464    RTT: 391034 ns
