WELCOME 1 824320    RTT: 1474592 ns
WELCOME 1 470016    RTT: 637478 ns
WELCOME 1 739328    RTT: 484522 ns
WELCOME 1 812032    RTT: 848487 ns
WELCOME 1 1759232    RTT: 567814 ns
WELCOME 1 877568    RTT: 779298 ns
WELCOME 1 1239040    RTT: 1051853 ns
WELCOME 1 419840    RTT: 694506 ns
WELCOME 1 645120    RTT: 691844 ns
WELCOME 1 619520    RTT: 260048 ns
WELCOME 1 643072    RTT: 1347487 ns
WELCOME 1 1780736    RTT: 269665 ns
WELCOME 1 1894400    RTT: 305835 ns
WELCOME 1 1704960    RTT: 403303 ns
WELCOME 1 1268736    RTT: 277616 ns
WELCOME 1 1964032    RTT: 403880 ns
WELCOME 1 972800    RTT: 725193 ns
WELCOME 1 1505280    RTT: 227307 ns
WELCOME 1 1882112    RTT: 534529 ns
WELCOME 1 666624    RTT: 1041246 ns
WELCOME 1 894976    RTT: 4204481 ns
WELCOME 1 835584    RTT: 627039 ns
WELCOME 1 489472    RTT: 283444 ns
WELCOME 1 373760    RTT: 341026 ns
WELCOME 1 1184768    RTT: 967815 ns
WELCOME 1 911360    RTT: 3270564 ns
WELCOME 1 1883136    RTT: 2917429 ns
WELCOME 1 953344    RTT: 1557260 ns
WELCOME 1 761856    RTT: 262990 ns
WELCOME 1 862208    RTT: 272884 ns
WELCOME 1 985088    RTT: 245575 ns
WELCOME 1 1802240    RTT: 545339 ns
WELCOME 1 1738752    RTT: 793567 ns
WELCOME 1 1887232    RTT: 1673239 ns
WELCOME 1 1119232    RTT: 400882 ns
WELCOME 1 1472512    RTT: 488488 ns
WELCOME 1 598016    RTT: 631238 ns
WELCOME 1 1297408    RTT: 816617 ns
WELCOME 1 916480    RTT: 480832 ns
WELCOME 1 1068032    RTT: 1048558 ns
WELCOME 1 1153024    RTT: 4215409 ns
WELCOME 1 1681408    RTT: 3053866 ns
WELCOME 1 968704    RTT: 3941986 ns
WELCOME 1 314368    RTT: 227621 ns
WELCOME 1 999424    RTT: 327740 ns
WELCOME 1 1575936    RTT: 2525408 ns
WELCOME 1 845824    RTT: 1407167 ns
WELCOME 1 794624    RTT: 1685177 ns
WELCOME 1 1282048    RTT: 886163 ns
WELCOME 1 882688    RTT: 382355 ns
WELCOME 1 1015808    RTT: 696303 ns
WELCOME 1 1810432    RTT: 239901 ns
WELCOME 1 1342464    RTT: 889471 ns
WELCOME 1 1267712    RTT: 395110 ns
WELCOME 1 901120    RTT: 228617 ns
WELCOME 1 462848    RTT: 198628 ns
WELCOME 1 1060864    RTT: 4929434 ns
WELCOME 1 358400    RTT: 302574 ns
WELCOME 1 1741824    RTT: 596362 ns
WELCOME 1 1717248    RTT: 508635 ns
WELCOME 1 808960    RTT: 281483 ns
WELCOME 1 997376    RTT: 830417 ns
WELCOME 1 1033216    RTT: 476887 ns
WELCOME 1 1208320    RTT: 1637764 ns
WELCOME 1 1120256    RTT: 1347907 ns
WELCOME 1 1057792    RTT: 493876 ns
WELCOME 1 1618944    RTT: 442762 ns
WELCOME 1 1013760    RTT: 378000 ns
WELCOME 1 544768    RTT: 450472 ns
WELCOME 1 1070080    RTT: 937881 ns
WELCOME 1 1425408    RTT: 666343 ns
WELCOME 1 1284096    RTT: 475168 ns
WELCOME 1 308224    RTT: 1706278 ns
WELCOME 1 1251328    RTT: 210930 ns
WELCOME 1 642048    RTT: 607763 ns
WELCOME 1 1664000    RTT: 189858 ns
WELCOME 1 1236992    RTT: 509787 ns
WELCOME 1 452608    RTT: 382443 ns
WELCOME 1 528384    RTT: 251573 ns
WELCOME 1 1030144    RTT: 287665 ns
WELCOME 1 436224    RTT: 216097 ns
WELCOME 1 1936384    RTT: 178850 ns
WELCOME 1 1916928    RTT: 1731014 ns
WELCOME 1 805888    RTT: 376166 ns
WELCOME 1 1354752    RTT: 582160 ns
WELCOME 1 920576    RTT: 2261245 ns
WELCOME 1 813056    RTT: 261742 ns
WELCOME 1 1826816    RTT: 790268 ns
WELCOME 1 1142784    RTT: 265561 ns
WELCOME 1 1904640    RTT: 1469975 ns
WELCOME 1 1579008    RTT: 360949 ns
WELCOME 1 2019328    RTT: 622769 ns
WELCOME 1 1649664    RTT: 217681 ns
WELCOME 1 743424    RTT: 260489 ns
WELCOME 1 1452032    RTT: 3942150 ns
WELCOME 1 1357824    RTT: 3062121 ns
WELCOME 1 327680    RTT: 1562431 ns
WELCOME 1 1042432    RTT: 2420516 ns
WELCOME 1 1332224    RTT: 202622 ns
WELCOME 1 1798144    RTT: 332800 ns
WELCOME 1 1131520    RTT: 234246 ns
WELCOME 1 1012736    RTT: 204659 ns
WELCOME 1 1058816    RTT: 1086921 ns
WELCOME 1 1859584    RTT: 775548 ns
WELCOME 1 348160    RTT: 351042 ns
WELCOME 1 1205248    RTT: 237349 ns
WELCOME 1 1657856    RTT: 248746 ns
WELCOME 1 350208    RTT: 375123 ns
WELCOME 1 1449984    RTT: 451594 ns
WELCOME 1 1132544    RTT: 329816 ns
WELCOME 1 1039360    RTT: 196901 ns
WELCOME 1 1466368    RTT: 286548 ns
WELCOME 1 1444864    RTT: 371511 ns
WELCOME 1 1451008    RTT: 387246 ns
WELCOME 1 390144    RTT: 427331 ns
WELCOME 1 952320    RTT: 1797884 ns
WELCOME 1 520192    RTT: 302773 ns
WELCOME 1 493568    RTT: 210951 ns
WELCOME 1 460800    RTT: 4651905 ns
WELCOME 1 1879040    RTT: 1087038 ns
WELCOME 1 894976    RTT: 228921 ns
WELCOME 1 501760    RTT: 207924 ns
WELCOME 1 894976    RTT: 187274 ns
WELCOME 1 821248    RTT: 343263 ns
WELCOME 1 1931264    RTT: 562486 ns
WELCOME 1 1135616    RTT: 354777 ns
WELCOME 1 1712128    RTT: 734107 ns
WELCOME 1 1590272    RTT: 584398 ns
WELCOME 1 1126400    RTT: 1201579 ns
WELCOME 1 594944    RTT: 424379 ns
WELCOME 1 1402880    RTT: 338320 ns
WELCOME 1 1314816    RTT: 199935 ns
WELCOME 1 918528    RTT: 318700 ns
WELCOME 1 1420288    RTT: 3973969 ns
WELCOME 1 1328128    RTT: 430441 ns
WELCOME 1 1798144    RTT: 454856 ns
WELCOME 1 869376    RTT: 450425 ns
WELCOME 1 347136    RTT: 440096 ns
WELCOME 1 1949696    RTT: 421530 ns
WELCOME 1 1220608    RTT: 444058 ns
WELCOME 1 448512    RTT: 416272 ns
WELCOME 1 772096    RTT: 436183 ns
WELCOME 1 1809408    RTT: 455132 ns
WELCOME 1 344064    RTT: 439237 ns
WELCOME 1 1336320    RTT: 425498 ns
WELCOME 1 1260544    RTT: 433455 ns
WELCOME 1 1367040    RTT: 413509 ns
WELCOME 1 1819648    RTT: 759036 ns
WELCOME 1 1654784    RTT: 211549 ns
WELCOME 1 1163264    RTT: 218543 ns
WELCOME 1 499712    RTT: 314781 ns
WELCOME 1 1671168    RTT: 197850 ns
WELCOME 1 613376    RTT: 219444 ns
WELCOME 1 705536    RTT: 201486 ns
WELCOME 1 738304    RTT: 199842 ns
