WELCOME 1 1168384    RTT: 432583 ns
WELCOME 1 592896    RTT: 456952 ns
WELCOME 1 761856    RTT: 457579 ns
WELCOME 1 1260544    RTT: 446261 ns
WELCOME 1 774144    RTT: 427308 ns
WELCOME 1 369664    RTT: 451234 ns
WELCOME 1 1639424    RTT: 423555 ns
WELCOME 1 1750016    RTT: 435789 ns
WELCOME 1 558080    RTT: 457676 ns
WELCOME 1 1909760    RTT: 468691 ns
WELCOME 1 1190912    RTT: 326193 ns
WELCOME 1 844800    RTT: 235743 ns
WELCOME 1 1632256    RTT: 202700 ns
WELCOME 1 575488    RTT: 203686 ns
WELCOME 1 1491968    RTT: 337285 ns
WELCOME 1 1061888    RTT: 255199 ns
WELCOME 1 573440    RTT: 213844 ns
WELCOME 1 1642496    RTT: 272191 ns
WELCOME 1 741376    RTT: 2988148 ns
WELCOME 1 2022400    RTT: 3954500 ns
WELCOME 1 572416    RTT: 418127 ns
WELCOME 1 1345536    RTT: 421907 ns
WELCOME 1 771072    RTT: 399871 ns
WELCOME 1 1260544    RTT: 404193 ns
WELCOME 1 421888    RTT: 1231764 ns
WELCOME 1 879616    RTT: 645862 ns
WELCOME 1 1284096    RTT: 218230 ns
WELCOME 1 1873920    RTT: 214274 ns
WELCOME 1 752640    RTT: 239206 ns
WELCOME 1 1836032    RTT: 222500 ns
WELCOME 1 1241088    RTT: 224247 ns
WELCOME 1 1299456    RTT: 182453 ns
WELCOME 1 1648640    RTT: 1561770 ns
WELCOME 1 1167360    RTT: 331337 ns
WELCOME 1 1260544    RTT: 1613589 ns
WELCOME 1 451584    RTT: 316259 ns
WELCOME 1 926720    RTT: 211867 ns
WELCOME 1 1817600    RTT: 204383 ns
WELCOME 1 693248    RTT: 217602 ns
WELCOME 1 535552    RTT: 216060 ns
WELCOME 1 346112    RTT: 206677 ns
WELCOME 1 822272    RTT: 205640 ns
WELCOME 1 503808    RTT: 221725 ns
WELCOME 1 351232    RTT: 179126 ns
WELCOME 1 1754112    RTT: 255669 ns
WELCOME 1 1435648    RTT: 204396 ns
WELCOME 1 841728    RTT: 201038 ns
WELCOME 1 825344    RTT: 264171 ns
WELCOME 1 1587200    RTT: 916482 ns
WELCOME 1 1142784    RTT: 211613 ns
WELCOME 1 1910784    RTT: 444344 ns
WELCOME 1 740352    RTT: 229514 ns
WELCOME 1 474112    RTT: 1764097 ns
WELCOME 1 580608    RTT: 3230570 ns
WELCOME 1 2016256    RTT: 205899 ns
WELCOME 1 1321984    RTT: 6072583 ns
WELCOME 1 2017280    RTT: 451399 ns
WELCOME 1 722944    RTT: 458969 ns
WELCOME 1 1726464    RTT: 433583 ns
WELCOME 1 2028544    RTT: 492079 ns
WELCOME 1 1118208    RTT: 184443 ns
WELCOME 1 1545216    RTT: 192657 ns
WELCOME 1 1897472    RTT: 187861 ns
WELCOME 1 1511424    RTT: 177770 ns
