WELCOME 1 1095680    RTT: 385051 ns
WELCOME 1 1411072    RTT: 1671478 ns
WELCOME 1 1759232    RTT: 394307 ns
WELCOME 1 1504256    RTT: 429766 ns
WELCOME 1 423936    RTT: 796715 ns
WELCOME 1 807936    RTT: 453353 ns
WELCOME 1 1133568    RTT: 412177 ns
WELCOME 1 1287168    RTT: 409489 ns
WELCOME 1 616448    RTT: 397022 ns
WELCOME 1 683008    RTT: 619830 ns
WELCOME 1 1465344    RTT: 1022826 ns
WELCOME 1 331776    RTT: 505855 ns
WELCOME 1 2027520    RTT: 417875 ns
WELCOME 1 1093632    RTT: 380393 ns
WELCOME 1 1226752    RTT: 405935 ns
WELCOME 1 1094656    RTT: 385814 ns
WELCOME 1 1396736    RTT: 521727 ns
WELCOME 1 1102848    RTT: 402096 ns
WELCOME 1 1404928    RTT: 403876 ns
WELCOME 1 471040    RTT: 8249260 ns
WELCOME 1 1384448    RTT: 421578 ns
WELCOME 1 515072    RTT: 874855 ns
WELCOME 1 1889280    RTT: 403060 ns
WELCOME 1 323584    RTT: 635937 ns
WELCOME 1 728064    RTT: 396117 ns
WELCOME 1 770048    RTT: 442726 ns
WELCOME 1 1747968    RTT: 382129 ns
WELCOME 1 1575936    RTT: 406208 ns
WELCOME 1 523264    RTT: 379436 ns
WELCOME 1 912384    RTT: 400799 ns
WELCOME 1 1913856    RTT: 381528 ns
WELCOME 1 1211392    RTT: 406315 ns
WELCOME 1 1972224    RTT: 6014555 ns
WELCOME 1 480256    RTT: 3873526 ns
WELCOME 1 880640    RTT: 882447 ns
WELCOME 1 745472    RTT: 452602 ns
WELCOME 1 1829888    RTT: 387308 ns
WELCOME 1 1561600    RTT: 399630 ns
WELCOME 1 593920    RTT: 393231 ns
WELCOME 1 1385472    RTT: 673434 ns
WELCOME 1 514048    RTT: 409864 ns
WELCOME 1 896000    RTT: 430184 ns
WELCOME 1 1459200    RTT: 385944 ns
WELCOME 1 974848    RTT: 399071 ns
WELCOME 1 1785856    RTT: 1968984 ns
WELCOME 1 851968    RTT: 3673643 ns
WELCOME 1 1619968    RTT: 3749242 ns
WELCOME 1 670720    RTT: 393209 ns
WELCOME 1 1345536    RTT: 2008039 ns
WELCOME 1 712704    RTT: 412043 ns
WELCOME 1 1041408    RTT: 420773 ns
WELCOME 1 1367040    RTT: 419939 ns
WELCOME 1 1486848    RTT: 7281360 ns
WELCOME 1 816128    RTT: 1975260 ns
WELCOME 1 1143808    RTT: 2729985 ns
WELCOME 1 1169408    RTT: 823394 ns
WELCOME 1 392192    RTT: 391802 ns
WELCOME 1 502784    RTT: 396338 ns
WELCOME 1 1413120    RTT: 435077 ns
WELCOME 1 1781760    RTT: 404823 ns
WELCOME 1 1153024    RTT: 377512 ns
WELCOME 1 1987584    RTT: 404783 ns
WELCOME 1 1336320    RTT: 377134 ns
WELCOME 1 362496    RTT: 395757 ns
WELCOME 1 1519616    RTT: 375094 ns
WELCOME 1 1680384    RTT: 399304 ns
WELCOME 1 1530880    RTT: 4956325 ns
WELCOME 1 1012736    RTT: 392735 ns
WELCOME 1 1966080    RTT: 4260702 ns
WELCOME 1 906240    RTT: 394988 ns
WELCOME 1 599040    RTT: 428252 ns
WELCOME 1 1879040    RTT: 413496 ns
WELCOME 1 454656    RTT: 399354 ns
WELCOME 1 937984    RTT: 420223 ns
WELCOME 1 359424    RTT: 831458 ns
WELCOME 1 1139712    RTT: 398801 ns
WELCOME 1 731136    RTT: 1266354 ns
WELCOME 1 1257472    RTT: 385241 ns
WELCOME 1 907264    RTT: 399248 ns
WELCOME 1 1024000    RTT: 385550 ns
WELCOME 1 1454080    RTT: 394602 ns
WELCOME 1 1796096    RTT: 412846 ns
WELCOME 1 1505280    RTT: 425795 ns
WELCOME 1 1510400    RTT: 1134639 ns
WELCOME 1 1570816    RTT: 394711 ns
WELCOME 1 1328128    RTT: 1293531 ns
WELCOME 1 1729536    RTT: 437132 ns
WELCOME 1 1907712    RTT: 389690 ns
WELCOME 1 586752    RTT: 391952 ns
WELCOME 1 958464    RTT: 1285061 ns
WELCOME 1 1539072    RTT: 810668 ns
WELCOME 1 1079296    RTT: 388340 ns
WELCOME 1 1390592    RTT: 404125 ns
WELCOME 1 995328    RTT: 383847 ns
WELCOME 1 958464    RTT: 1204773 ns
WELCOME 1 1519616    RTT: 4362439 ns
WELCOME 1 567296    RTT: 538072 ns
WELCOME 1 1593344    RTT: 406769 ns
WELCOME 1 1780736    RTT: 379535 ns
WELCOME 1 414720    RTT: 413228 ns
WELCOME 1 356352    RTT: 377728 ns
WELCOME 1 493568    RTT: 898085 ns
WELCOME 1 1061888    RTT: 626965 ns
WELCOME 1 1930240    RTT: 441092 ns
WELCOME 1 604160    RTT: 1057401 ns
WELCOME 1 1648640    RTT: 1416933 ns
WELCOME 1 1939456    RTT: 431814 ns
WELCOME 1 311296    RTT: 413294 ns
WELCOME 1 1937408    RTT: 2831789 ns
WELCOME 1 1973248    RTT: 1216617 ns
